input_name,protein_type,precision,recall,f1,dev_percentage,sMAPE,mae,label_count,pred_count
17682,all,0.6329787234042553,0.9444444444444444,0.7579617834394904,0.49206349206349204,0.19745222929936307,62,126,188
17682,beta-galactosidase,0.0425531914893617,1.0,0.08163265306122448,22.5,0.9183673469387755,180,8,188
17682,ribosome,0.3191489361702128,1.0,0.48387096774193555,2.1333333333333333,0.5161290322580645,128,60,188
17682,virus-like-particle,0.005319148936170213,1.0,0.010582010582010583,187.0,0.9894179894179894,187,1,188
17682,apo-ferritin,0.2074468085106383,0.975,0.3421052631578947,3.7,0.6491228070175439,148,40,188
17682,thyroglobulin,0.0425531914893617,1.0,0.08163265306122448,22.5,0.9183673469387755,180,8,188
17682,beta-amylase,0.02127659574468085,0.4444444444444444,0.04060913705583757,19.88888888888889,0.9086294416243654,179,9,188
17683,all,0.6678082191780822,0.9798994974874372,0.7942973523421589,0.46733668341708545,0.1894093686354379,93,199,292
17683,beta-galactosidase,0.023972602739726026,1.0,0.046822742474916385,40.714285714285715,0.9531772575250836,285,7,292
17683,ribosome,0.11986301369863013,1.0,0.21406727828746178,7.3428571428571425,0.7859327217125383,257,35,292
17683,virus-like-particle,0.00684931506849315,1.0,0.013605442176870748,145.0,0.9863945578231292,290,2,292
17683,apo-ferritin,0.4452054794520548,0.9848484848484849,0.6132075471698113,1.2121212121212122,0.37735849056603776,160,132,292
17683,thyroglobulin,0.06164383561643835,1.0,0.11612903225806451,15.222222222222221,0.8838709677419355,274,18,292
17683,beta-amylase,0.0136986301369863,0.8,0.02693602693602693,57.4,0.9663299663299664,287,5,292
17684,all,0.47794117647058826,0.9923664122137404,0.6451612903225807,1.0763358778625953,0.34987593052109184,141,131,272
17684,beta-galactosidase,0.01838235294117647,1.0,0.03610108303249098,53.4,0.9638989169675091,267,5,272
17684,ribosome,0.28308823529411764,1.0,0.4412607449856733,2.5324675324675323,0.5587392550143266,195,77,272
17684,virus-like-particle,0.011029411764705883,1.0,0.02181818181818182,89.66666666666667,0.9781818181818182,269,3,272
17684,apo-ferritin,0.1323529411764706,1.0,0.23376623376623376,6.555555555555555,0.7662337662337663,236,36,272
17684,thyroglobulin,0.029411764705882353,1.0,0.05714285714285715,33.0,0.9428571428571428,264,8,272
17684,beta-amylase,0.007352941176470588,1.0,0.014598540145985401,135.0,0.9854014598540146,270,2,272
17685,all,0.5945273631840796,0.991701244813278,0.7433903576982894,0.6680497925311203,0.25038880248833595,161,241,402
17685,beta-galactosidase,0.017412935323383085,1.0,0.034229828850855744,56.42857142857143,0.9657701711491442,395,7,402
17685,ribosome,0.15422885572139303,1.0,0.2672413793103448,5.483870967741935,0.7327586206896551,340,62,402
17685,virus-like-particle,0.0024875621890547263,1.0,0.004962779156327543,401.0,0.9950372208436724,401,1,402
17685,apo-ferritin,0.373134328358209,1.0,0.5434782608695653,1.68,0.45652173913043476,252,150,402
17685,thyroglobulin,0.03731343283582089,0.9375,0.07177033492822966,24.125,0.9234449760765551,386,16,402
17685,beta-amylase,0.009950248756218905,0.8,0.019656019656019656,79.4,0.9754299754299754,397,5,402
17686,all,0.5342465753424658,0.9798994974874372,0.6914893617021277,0.8341708542713567,0.29432624113475175,166,199,365
17686,beta-galactosidase,0.021917808219178082,1.0,0.04289544235924933,44.625,0.9571045576407506,357,8,365
17686,ribosome,0.13972602739726028,1.0,0.2451923076923077,6.1568627450980395,0.7548076923076923,314,51,365
17686,virus-like-particle,0.0027397260273972603,1.0,0.005464480874316939,364.0,0.994535519125683,364,1,365
17686,apo-ferritin,0.3095890410958904,1.0,0.47280334728033474,2.230088495575221,0.5271966527196653,252,113,365
17686,thyroglobulin,0.049315068493150684,0.9473684210526315,0.09374999999999999,18.210526315789473,0.9010416666666666,346,19,365
17686,beta-amylase,0.010958904109589041,0.5714285714285714,0.021505376344086023,51.142857142857146,0.9623655913978495,358,7,365
17687,all,0.4887640449438202,0.9775280898876404,0.6516853932584269,1.0,0.3333333333333333,89,89,178
17687,beta-galactosidase,0.02247191011235955,1.0,0.04395604395604395,43.5,0.9560439560439561,174,4,178
17687,ribosome,0.17415730337078653,0.96875,0.29523809523809524,4.5625,0.6952380952380952,146,32,178
17687,virus-like-particle,0.011235955056179775,1.0,0.02222222222222222,88.0,0.9777777777777777,176,2,178
17687,apo-ferritin,0.24157303370786518,1.0,0.3891402714932127,3.13953488372093,0.6108597285067874,135,43,178
17687,thyroglobulin,0.028089887640449437,0.8333333333333334,0.05434782608695653,28.666666666666668,0.9347826086956522,172,6,178
17687,beta-amylase,0.011235955056179775,1.0,0.02222222222222222,88.0,0.9777777777777777,176,2,178
17688,all,0.5982142857142857,0.995049504950495,0.7472118959107806,0.6633663366336634,0.24907063197026022,134,202,336
17688,beta-galactosidase,0.01488095238095238,1.0,0.029325513196480937,66.2,0.9706744868035191,331,5,336
17688,ribosome,0.10416666666666667,0.9722222222222222,0.18817204301075272,8.333333333333334,0.8064516129032258,300,36,336
17688,virus-like-particle,0.008928571428571428,1.0,0.017699115044247787,111.0,0.9823008849557522,333,3,336
17688,apo-ferritin,0.4255952380952381,1.0,0.5970772442588727,1.3496503496503496,0.40292275574112735,193,143,336
17688,thyroglobulin,0.041666666666666664,1.0,0.07999999999999999,23.0,0.92,322,14,336
17688,beta-amylase,0.002976190476190476,1.0,0.005934718100890207,335.0,0.9940652818991098,335,1,336
17689,all,0.42045454545454547,0.9736842105263158,0.5873015873015873,1.3157894736842106,0.3968253968253968,100,76,176
17689,beta-galactosidase,0.011363636363636364,1.0,0.02247191011235955,87.0,0.9775280898876404,174,2,176
17689,ribosome,0.2727272727272727,0.9795918367346939,0.4266666666666667,2.5918367346938775,0.5644444444444444,127,49,176
17689,apo-ferritin,0.08522727272727272,1.0,0.15706806282722513,10.733333333333333,0.8429319371727748,161,15,176
17689,thyroglobulin,0.05113636363636364,1.0,0.09729729729729732,18.555555555555557,0.9027027027027027,167,9,176
17689,beta-amylase,0,0,0,175.0,0.9887005649717514,175,1,176
17690,all,0.4492753623188406,0.9538461538461539,0.6108374384236455,1.123076923076923,0.35960591133004927,73,65,138
17690,beta-galactosidase,0.014492753623188406,0.6666666666666666,0.028368794326241138,45.0,0.9574468085106383,135,3,138
17690,ribosome,0.2246376811594203,1.0,0.3668639053254438,3.4516129032258065,0.6331360946745562,107,31,138
17690,virus-like-particle,0.021739130434782608,1.0,0.042553191489361694,45.0,0.9574468085106383,135,3,138
17690,apo-ferritin,0.12318840579710146,1.0,0.2193548387096774,7.117647058823529,0.7806451612903226,121,17,138
17690,thyroglobulin,0.057971014492753624,1.0,0.1095890410958904,16.25,0.8904109589041096,130,8,138
17690,beta-amylase,0.014492753623188406,0.6666666666666666,0.028368794326241138,45.0,0.9574468085106383,135,3,138
17691,all,0.6408668730650154,0.9904306220095693,0.7781954887218043,0.5454545454545454,0.21428571428571427,114,209,323
17691,beta-galactosidase,0.015479876160990712,1.0,0.030487804878048783,63.6,0.9695121951219512,318,5,323
17691,ribosome,0.11764705882352941,1.0,0.21052631578947367,7.5,0.7894736842105263,285,38,323
17691,virus-like-particle,0.009287925696594427,1.0,0.01840490797546012,106.66666666666667,0.9815950920245399,320,3,323
17691,apo-ferritin,0.4674922600619195,0.9869281045751634,0.6344537815126051,1.1111111111111112,0.35714285714285715,170,153,323
17691,thyroglobulin,0.02786377708978328,1.0,0.05421686746987951,34.888888888888886,0.9457831325301205,314,9,323
17691,beta-amylase,0.0030959752321981426,1.0,0.00617283950617284,322.0,0.9938271604938271,322,1,323
17692,all,0.5645161290322581,0.9929078014184397,0.7197943444730078,0.7588652482269503,0.2750642673521851,107,141,248
17692,beta-galactosidase,0.028225806451612902,1.0,0.05490196078431372,34.42857142857143,0.9450980392156862,241,7,248
17692,ribosome,0.18951612903225806,1.0,0.3186440677966102,4.276595744680851,0.6813559322033899,201,47,248
17692,virus-like-particle,0.008064516129032258,1.0,0.016,123.0,0.984,246,2,248
17692,apo-ferritin,0.29435483870967744,1.0,0.45482866043613707,2.3972602739726026,0.5451713395638629,175,73,248
17692,thyroglobulin,0.036290322580645164,1.0,0.07003891050583658,26.555555555555557,0.9299610894941635,239,9,248
17692,beta-amylase,0.008064516129032258,0.6666666666666666,0.01593625498007968,81.66666666666667,0.9760956175298805,245,3,248
17693,all,0.5953307392996109,0.9683544303797469,0.7373493975903616,0.6265822784810127,0.2385542168674699,99,158,257
17693,beta-galactosidase,0.027237354085603113,1.0,0.05303030303030304,35.714285714285715,0.946969696969697,250,7,257
17693,ribosome,0.23735408560311283,0.9838709677419355,0.3824451410658307,3.1451612903225805,0.6112852664576802,195,62,257
17693,virus-like-particle,0.0038910505836575876,1.0,0.007751937984496124,256.0,0.9922480620155039,256,1,257
17693,apo-ferritin,0.2840466926070039,0.9864864864864865,0.44108761329305135,2.472972972972973,0.552870090634441,183,74,257
17693,thyroglobulin,0.038910505836575876,1.0,0.07490636704119849,24.7,0.9250936329588015,247,10,257
17693,beta-amylase,0.007782101167315175,0.5,0.015325670498084292,63.25,0.9693486590038314,253,4,257
17694,all,0.448,0.9655172413793104,0.6120218579234973,1.1551724137931034,0.366120218579235,134,116,250
17694,beta-galactosidase,0.02,1.0,0.0392156862745098,49.0,0.9607843137254902,245,5,250
17694,ribosome,0.248,1.0,0.3974358974358974,3.032258064516129,0.6025641025641025,188,62,250
17694,virus-like-particle,0.008,1.0,0.015873015873015872,124.0,0.9841269841269841,248,2,250
17694,apo-ferritin,0.108,1.0,0.19494584837545126,8.25925925925926,0.8050541516245487,223,27,250
17694,thyroglobulin,0.068,1.0,0.12734082397003746,13.705882352941176,0.8726591760299626,233,17,250
17694,beta-amylase,0.004,0.3333333333333333,0.007905138339920948,82.33333333333333,0.9762845849802372,247,3,250
17695,all,0.5067567567567568,0.9493670886075949,0.6607929515418502,0.8734177215189873,0.3039647577092511,69,79,148
17695,beta-galactosidase,0.05405405405405406,1.0,0.10256410256410257,17.5,0.8974358974358975,140,8,148
17695,ribosome,0.2635135135135135,1.0,0.4171122994652406,2.7948717948717947,0.5828877005347594,109,39,148
17695,virus-like-particle,0.013513513513513514,1.0,0.026666666666666665,73.0,0.9733333333333334,146,2,148
17695,apo-ferritin,0.11486486486486487,1.0,0.20606060606060606,7.705882352941177,0.793939393939394,131,17,148
17695,thyroglobulin,0.0472972972972973,0.875,0.08974358974358974,17.5,0.8974358974358975,140,8,148
