input_name,protein_type,precision,recall,f1,dev_percentage,sMAPE,mae,label_count,pred_count
TS_6_6,all,0.9516129032258065,0.8251748251748252,0.8838951310861424,0.13286713286713286,0.07116104868913857,19,143,124
TS_6_6,beta-galactosidase,0.08064516129032258,0.9090909090909091,0.14814814814814814,10.272727272727273,0.837037037037037,113,11,124
TS_6_6,ribosome,0.18548387096774194,1.0,0.3129251700680272,4.391304347826087,0.6870748299319728,101,23,124
TS_6_6,virus-like-particle,0.1532258064516129,1.0,0.26573426573426573,5.526315789473684,0.7342657342657343,105,19,124
TS_6_6,apo-ferritin,0.31451612903225806,0.9512195121951219,0.4727272727272727,2.024390243902439,0.503030303030303,83,41,124
TS_6_6,thyroglobulin,0.25806451612903225,0.9142857142857143,0.4025157232704402,2.5428571428571427,0.559748427672956,89,35,124
TS_6_6,beta-amylase,0.06451612903225806,0.5714285714285714,0.11594202898550726,7.857142857142857,0.7971014492753623,110,14,124
TS_69_2,all,0.8492063492063492,0.7482517482517482,0.7955390334572491,0.11888111888111888,0.06319702602230483,17,143,126
TS_69_2,beta-galactosidase,0.1111111111111111,0.875,0.19718309859154926,6.875,0.7746478873239436,110,16,126
TS_69_2,ribosome,0.2777777777777778,0.9459459459459459,0.4294478527607362,2.4054054054054053,0.5460122699386503,89,37,126
TS_69_2,virus-like-particle,0.07142857142857142,1.0,0.13333333333333333,13.0,0.8666666666666667,117,9,126
TS_69_2,apo-ferritin,0.2619047619047619,0.9428571428571428,0.4099378881987578,2.6,0.5652173913043478,91,35,126
TS_69_2,thyroglobulin,0.21428571428571427,0.7941176470588235,0.33749999999999997,2.7058823529411766,0.575,92,34,126
TS_69_2,beta-amylase,0.05555555555555555,0.5833333333333334,0.10144927536231882,9.5,0.8260869565217391,114,12,126
TS_99_9,all,0.8315789473684211,0.7596153846153846,0.7939698492462313,0.08653846153846154,0.04522613065326633,18,208,190
TS_99_9,beta-galactosidase,0.12105263157894737,0.9583333333333334,0.21495327102803738,6.916666666666667,0.7757009345794392,166,24,190
TS_99_9,ribosome,0.3263157894736842,0.9538461538461539,0.4862745098039216,1.9230769230769231,0.49019607843137253,125,65,190
TS_99_9,virus-like-particle,0.06842105263157895,1.0,0.12807881773399016,13.615384615384615,0.8719211822660099,177,13,190
TS_99_9,apo-ferritin,0.18947368421052632,1.0,0.31858407079646023,4.277777777777778,0.6814159292035398,154,36,190
TS_99_9,thyroglobulin,0.20526315789473684,0.7959183673469388,0.3263598326359833,2.877551020408163,0.5899581589958159,141,49,190
TS_99_9,beta-amylase,0.06842105263157895,0.6190476190476191,0.12322274881516589,8.047619047619047,0.8009478672985783,169,21,190
TS_73_6,all,0.946524064171123,0.815668202764977,0.8762376237623762,0.1382488479262673,0.07425742574257425,30,217,187
TS_73_6,beta-galactosidase,0.06417112299465241,0.8571428571428571,0.11940298507462686,12.357142857142858,0.8606965174129353,173,14,187
TS_73_6,ribosome,0.24064171122994651,0.9782608695652174,0.38626609442060084,3.0652173913043477,0.6051502145922747,141,46,187
TS_73_6,virus-like-particle,0.11229946524064172,0.9545454545454546,0.20095693779904306,7.5,0.7894736842105263,165,22,187
TS_73_6,apo-ferritin,0.41711229946524064,0.8210526315789474,0.5531914893617021,0.968421052631579,0.3262411347517731,92,95,187
TS_73_6,thyroglobulin,0.13903743315508021,0.9285714285714286,0.2418604651162791,5.678571428571429,0.7395348837209302,159,28,187
TS_73_6,beta-amylase,0.0481283422459893,0.75,0.09045226130653267,14.583333333333334,0.8793969849246231,175,12,187
TS_6_4,all,0.9548022598870056,0.8756476683937824,0.9135135135135135,0.08290155440414508,0.043243243243243246,16,193,177
TS_6_4,beta-galactosidase,0.06779661016949153,1.0,0.12698412698412698,13.75,0.873015873015873,165,12,177
TS_6_4,ribosome,0.4124293785310734,0.9864864864864865,0.5816733067729084,1.3918918918918919,0.4103585657370518,103,74,177
TS_6_4,virus-like-particle,0.05084745762711865,0.9,0.09625668449197862,16.7,0.893048128342246,167,10,177
TS_6_4,apo-ferritin,0.3163841807909605,0.9655172413793104,0.4765957446808511,2.0517241379310347,0.5063829787234042,119,58,177
TS_6_4,thyroglobulin,0.15254237288135594,0.9,0.2608695652173913,4.9,0.7101449275362319,147,30,177
TS_6_4,beta-amylase,0.03954802259887006,0.7777777777777778,0.07526881720430108,18.666666666666668,0.9032258064516129,168,9,177
TS_5_4,all,0.9736842105263158,0.7928571428571428,0.874015748031496,0.18571428571428572,0.10236220472440945,26,140,114
TS_5_4,beta-galactosidase,0.09649122807017543,0.9166666666666666,0.1746031746031746,8.5,0.8095238095238095,102,12,114
TS_5_4,ribosome,0.2719298245614035,1.0,0.42758620689655175,2.6774193548387095,0.5724137931034483,83,31,114
TS_5_4,virus-like-particle,0.09649122807017543,1.0,0.176,9.363636363636363,0.824,103,11,114
TS_5_4,apo-ferritin,0.34210526315789475,0.8478260869565217,0.4875,1.4782608695652173,0.425,68,46,114
TS_5_4,thyroglobulin,0.22807017543859648,0.8666666666666667,0.3611111111111111,2.8,0.5833333333333334,84,30,114
